"model","avg_price","avg_bid_6month","difference","difference_percent"
"Daihatsu Ayla","83000000.000000000000","185500000.000000000000","-102500000.000000000000","-123.4939759036144600"
"Toyota Agya","118400000.000000000000","182000000.00000000","-63600000.000000000000","-53.71621621621621621600"
"Toyota Calya","118700000.000000000000","228000000.00000000","-109300000.000000000000","-92.08087615838247683200"
"Toyota Yaris","175000000.00000000","181000000.00000000","-6000000.00000000","-3.42857142857142857100"
